Name,Date Published,Description,Rating,Rating Count,Content Rating,Genre(s),Keywords
The Last Days of American Crime,2020-06-05,"In the not-too-distant future, as a final response to terrorism and crime, the U.S. government plans to broadcast a signal making it impossible for anyone to knowingly commit unlawful acts.",3.8,11940,TV-MA,"Action,Crime,Drama","distant future,heist,bank robber,image comics,based on comic"
Kako je poceo rat na mom otoku,,,7.8,2816,,"Comedy,Drama,War","satire,dalmatian island,serbian agression,yugoslavism,croatian war of independence"
Libertarias,1997-07-18,"At the outbreak of the Spanish Civil War, the nun Maria is forced to flee her convent. She takes refuge in a brothel, until it is liberated by a woman&apos;s anarchist group. Maria joins the group and eventually goes to the front. The ...",6.9,2118,M/16,"Drama,History,War","spanish civil war,anarchist,anti fascism,anarchism,anarchy"
Lilies - Les feluettes,1997-08-16,"When a bishop comes to a prison to hear the confession of an old friend he is forced to watch a play, performed by the inmates, about their youth together, love and betrayal.",7.4,2790,R,"Crime,Drama,Fantasy","male nudity,male full frontal nudity,gay,prison,boyhood friend"
Love Is All There Is,1996-05-10,Romeo & Juliet gets transplanted to the Bronx.,5,1419,R,"Comedy,Romance","italian american,love,restaurant,f rated,shakespeare play"
Lost & Found,1999-04-23,,5.1,6717,PG-13,"Comedy,Romance","cleavage,voyeur,red panties,blue panties,panties"
Mahjong Nights,2021-11-12,Alexa witnesses a simple mahjong night turned bloody when all the player&apos;s dark secrets are discovered - including Alexa&apos;s illicit affair with her stepfather.,5.9,694,,Drama,"filipino woman,loan sharks,step father step daughter relationship,abusive husband,step father step daughter sex"
Microcosmos: Le peuple de l&apos;herbe,1997-04-25,,7.9,11396,M/6,Documentary,"underwater scene,slow motion scene,meadow,spider,insect"
Mossane,1998-05-28,"Mossane is a beautiful 14-year-old girl who has just reached marriageable age in a village in Senegal. She has many suitors, including a simple-minded farmer&apos;s son who plans to drag her away. Even her own brother Ngor is in love w...",7.3,128,,Drama,f rated
The Making of the Mahatma,1996-04-26,Mohandas Karamchand Gandhi was invited to South Africa in 1893 to settle a case for a wealthy Indian settled there. He expected to return in a few months but instead got involved in the freedom movement and eventually stayed for 2...,6.9,205,,"Biography,Drama,History","train,reference to mahatma gandhi,character name in title"
My Man Godfrey,1937-03-17,,8,24961,M/6,"Comedy,Drama,Romance","butler,homelessness,poverty,class differences,great depression"
Ninne Pelladatha,1996-10-04,"Raju and Mahalaxmi meet at a marriage ceremony and both are attracted to each other. They soon fall deeply in love with each other, and decide to inform their respective parents of their plan to get married. Raju&apos;s family welcomes...",7.7,736,,"Romance,Comedy,Drama",
Nasser 56,,,6.6,953,,"Biography,Drama,History","children,crowd,india,britain,smoking"
The Ogre,,,5,195,R,Horror,"ogre,castle,orchard,nightmares,basement"
Once Upon a Time in Ukraine,2020-12-24,What if Taras Shevchenko put down his pen and took a samurai sword into his hands?,7,502,,"Action,Adventure,Comedy",sword
The Other Side of Heaven,2002-04-12,"John Groberg, a farm kid from Idaho Falls, crosses an ocean to become a missionary in the remote and exotic Tongan islands during the 1950s.",6.3,4550,PG,"Adventure,Biography,Drama","hurricane,disaster film,large family,eldest child,college student"
A Petal on the Current,1919-08-03,"Stella Schump is a shop girl and very devoted to her mother, who desires her to marry. Stella befriends her shoe store co-worker Cora Kinealy, who invites Stella to a party to meet the hero of a munitions plant fire. The young man...",,,,Drama,courtroom
Paradise Lost: The Child Murders at Robin Hood Hills,1996-06-10,A horrific triple child murder leads to an indictment and trial of three nonconformist boys based on questionable evidence.,8.2,17271,Not Rated,"Documentary,Crime","crime documentary,timeframe 1990s,satanic panic,reference to paradise lost,trial"
The Pillow Book,1996-10-25,A woman with a body writing fetish seeks to find a combined lover and calligrapher.,6.5,13271,M/16,Drama,"writing on a body,nudity,tattoo,male full frontal nudity,close up of a penis"
Ponette,1998-04-24,A four-year-old girl tries to come to terms with the sudden death of her mother.,7.5,4637,M/12,Drama,"little girl,bereavement,grief,child&apos;s point of view,character name as title"
