Name,Date Published,Description,Rating,Rating Count,Content Rating,Genre(s),Keywords
9 to 5: Days in Porn,2009-07-02,,6.3,2173,Not Rated,Documentary,"sex,female frontal nudity,female rear nudity,adult film industry,porn industry"
Stir Crazy,1981-09-03,,6.7,29268,R,"Comedy,Crime","prison,prison yard,cell mate,woodpecker costume,jail"
The Blue Lagoon,1923-02-05,"In the Victorian period, two children are shipwrecked on a tropical island in the South Pacific. With no adults to guide them, the two make a simple life together, unaware that sexual maturity will eventually intervene.",5.4,37,,Drama,based on novel
Any Which Way You Can,1981-10-09,,6.1,20075,PG,"Action,Comedy","sequel,machismo,vendetta,farce,abduction"
Smokey and the Bandit II,1981-08-14,,5.2,16590,PG,"Action,Adventure,Comedy","sheriff,road movie,elephant,car crash,hixploitation"
Coal Miner&apos;s Daughter,1981-05-02,,7.5,19484,PG,"Biography,Drama,Music","country music,kentucky,song,singing,poverty"
The Best of the Blues Brothers,,Dan Aykroyd and friends tell the story of the famous Saturday Night Live recurring musical characters.,7.6,441,,"Documentary,Music","actor playing multiple roles,independent film"
The Gods Must Be Crazy,1982-09-09,"A comic allegory about a traveling Bushman who encounters modern civilization and its stranger aspects, including a clumsy scientist and a band of revolutionaries.",7.3,57535,M/12,"Adventure,Comedy","junk,junk food,multinational corporation,pop,pop bottle"
Star Wars: Episode IX - The Rise of Skywalker,2019-12-19,"In the riveting conclusion of the landmark Skywalker saga, new legends will be born-and the final battle for freedom is yet to come.",6.5,462982,M/12,"Action,Adventure,Fantasy","evil,quicksand,space opera,star wars,disney star wars"
National Lampoon&apos;s Animal House,1980-10-24,"At a 1962 college, Dean Vernon Wormer is determined to expel the entire Delta Tau Chi Fraternity, but those troublemakers have other plans for him.",7.4,124436,R,Comedy,"academic probation,toga party,fraternity,stuffed bra,food fight"
The Jerk Theory,,,5.4,3797,PG-13,"Comedy,Music,Romance","water fountain,dating,rock band,high school,hotel room key"
Ordinary People,2009-08-26,,6.2,415,Unrated,Drama,bus
Star Trek: The Motion Picture,1980-03-21,"When an alien spacecraft of enormous power is spotted approaching Earth, Admiral James T. Kirk resumes command of the overhauled USS Enterprise in order to intercept it.",6.4,92656,M/12,"Adventure,Mystery,Sci-Fi","alien,voyager spacecraft,transporter malfunction,u.s.s. enterprise,starship"
Kagemusha,1980-12-16,A petty thief with an utter resemblance to a samurai warlord is hired as the lord&apos;s double. When the warlord later dies the thief is forced to take up arms in his place.,7.9,36618,M/12,"Drama,History,War","doppelganger,16th century,deception,secret,trick"
My Brilliant Career,1979-08-17,A proud young woman in early 20th century Australia must choose between marriage and independence.,7.1,4533,G,"Biography,Drama,Romance","brushing hair,feminist film,independent woman,feminist,rebellious woman"
The Elephant Man,1981-05-22,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",8.2,246280,M/12,"Biography,Drama","dignity,disability,human exploitation,hospital,psychological torture"
Tess,1980-10-30,,7.3,17353,PG,"Drama,Romance","pregnant from rape,rape,based on novel,woman murders a man,murderess"
The Ninth Configuration,1982-06-18,A former marine arrives at a mental asylum housed in a remote castle to run it. There he attempts to rehabilitate the patients by letting them act out their craziest fantasies and desires.,6.8,8207,M/16,"Comedy,Drama,Horror","insane asylum,beer,biker,superman costume,all male cast"
Agency,1980-03-13,A millionaire is suspected of buying an ad agency to use it as a way of brainwashing the public for his political ends.,4.8,570,R,"Drama,Sci-Fi,Thriller","dirty politics,subliminal message,advertising agency,based on novel,tampering"
Moskva slezam ne verit,1982-04-15,"Three young provincial women come to Moscow in search of what people in all the capitals of the world are looking for - love, happiness and prosperity. Their destinies develop exactly as the character of each of the girls suggests.",8.1,13500,PG,"Comedy,Drama,Romance","city name in title,group of friends,soviet union history,single mother,male female relationship"
The Stunt Man,1982-03-26,"A fugitive stumbles onto a movie set just when they need a new stunt man, takes the job as a way to hide out and falls for the leading lady while facing off with his manipulative director.",7,9993,R,"Action,Comedy,Drama","on the run,stuntman,brothel,female rear nudity,cleavage"
Melvin and Howard,1980-09-19,"The story of hard-luck Melvin E. Dummar, who claimed to have received a will naming him an heir to the fortune of Howard Hughes.",6.8,5062,R,"Comedy,Drama","character names as title,howard hughes character,woman wears a g string,forenames as title,melvin dummar character"
Alligator,1981-09-17,"A pet baby alligator is flushed down a toilet and survives in the city sewers. Twelve years later, it grows to an enormous size thanks to a diet of discarded laboratory dogs injected with growth hormones. Now, humans have entered ...",6.1,14238,R,"Horror,Sci-Fi,Thriller","alligator,sewer,giant animal,toilet,baby alligator"
Altered States of Plaine,2014-05-02,A young man on the run from a mysterious government agency is desperate to find the cure for a condition that causes him to wake up at random places around the world when he falls asleep.,5.6,209,,"Drama,Mystery,Sci-Fi","forced drug use,child in jeopardy,new york city,imagination,pay phone"
American Gigolo,1980-09-12,"A Los Angeles male escort, who mostly caters to an older female clientèle, is accused of a murder which he did not commit.",6.3,27552,M/16,"Crime,Drama,Mystery","murder,politician&apos;s wife,male prostitute,male prostitution,neo noir"
Arrebato,1983-08-26,,6.9,2985,M/18,"Drama,Fantasy,Horror","cocaine,male full frontal nudity,pubic hair,male pubic hair,false teeth"
The Awakening,2013-04-04,,6.4,67561,M/16,"Drama,Horror,Mystery","ghost,murder suicide,female paranormal investigator,twist,1920s"
Atlantic City,1981-11-05,"In a corrupt city, a small-time gangster and the estranged wife of a pot dealer find themselves thrown together in an escapade of love, money, drugs and danger.",7.3,17471,R,"Crime,Drama,Romance","casino,drugs,gangster,mobster,sister sister relationship"
Babylon,2023-01-19,"A tale of outsized ambition and outrageous excess, it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood.",7.2,104781,M/16,"Comedy,Drama,History","hollywood california,1920s,film history,hedonism,female female kiss"
Un mauvais fils,1983-11-04,,7.3,1279,Not Rated,Drama,"male nudity,male frontal nudity,female nudity,ex convict,male full frontal nudity"
The Baltimore Bullet,1981-01-23,,5.9,544,PG,"Comedy,Crime,Drama","new orleans louisiana,poker game,backgammon,beer,cocaine"
Bizalom,1980-01-10,,7.5,927,Not Rated,Drama,world war two
Battle Creek Brawl,1982-03-25,A young Asian-American martial artist is forced to participate in a brutal formal street-fighting competition.,5.7,5558,R,"Action,Comedy,Crime","street fight,mixed martial arts,martial arts tournament,ends with freeze frame,timeframe 1930s"
The Black Marble,1980-03-07,,6.2,731,PG,"Comedy,Crime,Drama","prologue,drunken man,handcuffs,rain,scene during opening credits"
The Blood of Hussain,,"A dramatic depiction of the life of Hussain, with allegorical references to the history of the Prophet Muhammad and his descendants. It is prophesied that Young Hussain will one day lead the impoverished masses to a better life. I...",6.8,142,,Drama,"history repeats itself,husband wife relationship,pregnancy,rape,military"
Bronco Billy,1981-01-23,,6.1,12231,PG,"Action,Adventure,Comedy","cowboy,neo western,circus,title spoken by character,cult favorite"
Brubaker,1980-06-20,,7.1,18623,R,"Crime,Drama","prison,abuse of power,undercover,character name as title,corruption"
Caboblanco,1980-02-28,"In 1948, an assortment of shady characters are searching for Nazi loot, sunken off the coast of Peru.",5.4,1237,R,"Action,Adventure,Crime","female nudity,female rear nudity,female full frontal nudity,female pubic hair,prostitute"
Cannibal Holocaust,1981-01-22,,5.8,57791,M/18,"Adventure,Horror","film within a film,actual animal killed,revenge,female full frontal nudity,animal cruelty"
Can&apos;t Stop the Music,1980-10-23,A pseudo autobiography of disco&apos;s The Village People.,4.2,4251,PG,"Biography,Comedy,Musical","male full frontal nudity,disco,swimming pool,tax lawyer,dancer"
Chann Pardesee,1981-07-10,"Nek gets married to the girl of his dreams, Kammo, and has a son. Later, he finds out that the child isn&apos;t his but Joginder&apos;s, who had raped Kammo.",8.5,86,,Drama,
A Change of Seasons,1982-04-20,,5.2,1071,R,"Comedy,Drama","hot tub,older woman younger man relationship,older man younger woman relationship,may december romance,professor"
La città delle donne,1981-05-15,A businessman finds himself trapped at a hotel and threatened by women en masse.,6.9,7707,R,"Comedy,Drama,Fantasy","female nudity,train,adult humor,nudity,surrealism"
The Competition,2018-01-26,,4.5,1331,TV-14,"Comedy,Romance","cigarette,unlit cigarette"
The Last Days of American Crime,2020-06-05,"In the not-too-distant future, as a final response to terrorism and crime, the U.S. government plans to broadcast a signal making it impossible for anyone to knowingly commit unlawful acts.",3.8,11940,TV-MA,"Action,Crime,Drama","distant future,heist,bank robber,image comics,based on comic"
Cruising,1981-02-12,A police detective goes undercover in the underground S&M gay subculture of New York City to catch a serial killer who is preying on gay men.,6.5,25301,M/18,"Crime,Drama,Mystery","gay,cruising,leather bar,stabbed to death,homo"
La mort en direct,1980-03-20,"In a future where dying of illness is exceedingly rare, a terminally ill woman becomes a celebrity and a man with camera implants goes to secretly record her for a morbid TV show.",6.6,3245,R,"Drama,Sci-Fi,Thriller","reality tv production,remarriage,fictional reality show,near future,1980s"
Postriziny,1981-02-01,,7.7,2533,,Comedy,"beer,provincial life,pig slaughter,drink,drinking"
Dadar Kirti,1980-11-28,"Advocate Nivaran Chatterjee lives a wealthy lifestyle in a small town along with his wife, and three sons. His first son is married, while his second son, Kedarnath, who suffered a head injury, is a little senile, and his third so...",7.9,227,,"Comedy,Drama",
Delusion,1991-06-07,A man who has just embezzled money from his company is driving through the Nevada desert. He picks up a pretty girl and her seemingly goofy boyfriend. The girl is a Las Vegas showgirl and the boyfriend turns out to be a profession...,6,723,R,"Crime,Drama,Thriller","boyfriend girlfriend relationship,professional murderer,las vegas nevada,showgirl,money"
Dostana,2008-11-14,,6.5,15550,Not Rated,"Comedy,Drama,Romance","gay,boss,apartment,photographer,university of miami"
The Dogs of War or That&apos;s What Friends Are For,2017-01-02,A live staged film compilation about gang warfare and romantic intrigue in a mysterious reality which unfolds with continuously evolving waves of rhyme in rap poetry.,,,,"Comedy,Drama,Musical","compilation,or as title separator"
The Visit,2015-09-10,Two siblings become increasingly frightened by their grandparents&apos; disturbing behavior while visiting them on vacation.,6.2,140306,M/14,"Horror,Mystery,Thriller","handheld camera,mockumentary,farm,skype,grandmother granddaughter relationship"
Dressed to Kill,1941-08-08,Detective Michael Shayne and his girlfriend Joanne are on their way to be married when a scream from a nearby hotel room draws his attention to a pair of theatrical murders.,6.4,1139,Passed,"Crime,Film-Noir,Mystery",violence
The Falls,,The Falls is a feature film about two missionaries that fall in love while on their mission.,6.7,2638,Not Rated,"Drama,Romance","missionary,oregon,gay mormon,mormon missionary,gay interest"
Fatso,1980-02-01,"An overweight bachelor is fat, 40 and fed up--to the gills--but when his obese cousin Sal dies at 39, he must finally come to terms with his own weight problem.",6.2,2270,PG,"Comedy,Drama,Romance","fat shaming,actor director,actor writer,director writer,open casket"
First Family,1980-12-25,,4.2,703,R,Comedy,"president of the united states,u.s. vice president,president,vice president,first daughter"
The First Deadly Sin,1982-07-16,,5.9,2138,R,"Crime,Thriller","serial murder,terror,grindhouse film,creep,sadistic psychopath"
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,2004-03-05,"The story of America as seen through the eyes of the former Secretary of Defense under President John F. Kennedy and President Lyndon B. Johnson, Robert McNamara.",8.1,24323,PG-13,"Documentary,Biography,History","secretary of defense,interview,vietnam,cold war,political superpower"
Flash Gordon,1981-04-02,A football player and his friends travel to the planet Mongo and find themselves fighting the tyranny of Ming the Merciless to save Earth.,6.5,58593,PG,"Action,Adventure,Sci-Fi","girl from outer space,mind reading,cult film,apocalypse,torture"
Foolin&apos; Around,1980-12-19,"A working-class boy falls for a girl from a wealthy family, and must compete for her with a rich boy who also wants her.",6,505,PG,"Comedy,Romance,Sport","scene during opening credits,title song,wealth,rich family,male female relationship"
The Formula,2014-04-15,,2.6,740,Not Rated,"Comedy,Romance","substitute teacher,reference to jason statham,photographer,pick up line,grant application"
Friday the 13th,1981-03-13,"A group of camp counselors trying to reopen a summer camp called Crystal Lake, which has a grim past, are stalked by a mysterious killer.",6.4,145249,M/18,"Horror,Mystery,Thriller","summer,serial killer,summer camp,slasher,first of series"
Gilda Live,1980-03-28,,6.9,757,R,Comedy,"actress name in title,two word title,forename in title,sketch comedy movie,parody comedy"
Deutschland bleiche Mutter,1980-09-26,"Germany 1939. Hans and Lene marry the day before the war breaks out, and Hans is sent to the Eastern front. During a bombing raid their daughter Anna is born. The house is destroyed and Lene and Anna moves in with relatives in Ber...",7.2,802,,"Drama,History,War","motherhood,rubble,post world war two,drunkenness,post world war two germany"
Uchu kaijû Gamera,1980-03-20,"Using several clips from previous Gamera entries, this film deals with alien forces sending all the monsters Gamera has faced in one final battle to rid the planet of its last hope.",3.6,966,Not Rated,"Action,Family,Sci-Fi","psychotronic film,gamera,alien,evil,lizard"
Gloria,1999-01-22,"After serving three years in prison covering for her gangster boyfriend, Kevin, Gloria returns to New York City for the money she was promised. Inside Kevin&apos;s base of operations, she finds 7 year old Nicky, whose family has been k...",5.1,6011,M/12,"Crime,Drama,Thriller","character name as title,forename as title,7 year old boy,watching tv,watching a cartoon on tv"
Hangar 18,1982-02-04,"After a UFO crashes in Arizona, due to a space collision with a NASA satellite launch, the U.S. government tries to cover-up the incident for political reasons.",5.3,2811,PG,Sci-Fi,"nasa,space sci fi,arizona desert,desert,arizona"
The Great Rock &apos;n&apos; Roll Swindle,,,6.3,2324,,Music,"male nudity,male frontal nudity,male full frontal nudity,pubic hair,male pubic hair"
Hero at Large,1980-10-10,"A struggling actor buying milk stops a robbery while wearing a superhero uniform, promoting a movie. The unknown hero decides to try again. Can he impress his cute neighbor?",5.9,1695,PG,"Comedy,Romance","bare chested male,hairy chest,non comic book superhero,injury,gun"
Heart Beat,1980-12-25,"The life and friendship between the icons of the Beat Generation - Neal Cassady, Carolyn Cassady and Jack Kerouac.",5.7,710,R,Drama,"beatnik,marijuana,red wine,suburbia,cigar smoking"
Heerak Rajar Deshe,1980-12-19,The musical duo of Goopi and Bagha make a comeback when they are invited to play for a king.,8.9,2871,Not Rated,"Comedy,Drama,Family","kingdom,king,musician,scientist,diamond"
HealtH,1980-08-23,,5.6,875,PG,Comedy,"board game,swimming pool,postmodern,satire comedy,political campaign"
He Knows You&apos;re Alone,1982-08-06,"A young bride-to-be is being stalked upon by a serial killer in Staten Island. She gets help from a former lover, but will they manage to escape?",5,3926,R,"Horror,Thriller","serial killer,slasher,low budget film,man murders a woman,stabbing a woman"
The Hit,1984-09-07,"Ten years after ratting on his old mobster friends in exchange for personal immunity, two hit men drive a hardened criminal to Paris for his execution. However, while on the way, whatever can go wrong, does go wrong.",7,8791,R,"Crime,Drama,Thriller","road movie,neo noir,mortality,revenge,trial"
Home Movies,1980-04-10,,5,964,PG,Comedy,"filmmaking,independent film"
Humanoids from the Deep,1980-08-28,"Humanoid sea creatures start killing a fishing town&apos;s residents, and raping their women. It&apos;s up to the townsfolk and a visiting biologist to fight back and fend them off.",5.7,9717,R,"Horror,Sci-Fi","title directed by female,female nudity,rape,fishing village,bigot"
Inferno,2016-10-13,"When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks and they race across Europe together against the clock to foil a deadly global plot.",6.2,180908,M/12,"Action,Adventure,Crime","amnesia,church,museum,police,virus"
The Island,2005-08-18,,6.8,320137,M/12,"Action,Sci-Fi,Thriller","clone,year 2019,island,same actor playing two characters simultaneously on screen,cityscape"
The Jazz Singer,1981-05-08,,5.8,4620,PG,"Drama,Music,Romance","jewish,tradition,star,singer,pop singer"
It&apos;s My Turn,1981-03-21,"A successful but stressed mathematics professor goes to her father&apos;s wedding and falls in love with her father&apos;s bride&apos;s son, a prematurely retired pro baseball player. She must choose between him and her current boyfriend, betwee...",5.5,1064,R,"Comedy,Drama","title directed by female,title written by female,female director,female filmmaker,wedding"
Karz,1980-06-11,Ravi is killed by his wife after his marriage. He is reborn as Monty and is now a singer he goes to holiday in Ooty where he recollects his memories from previous life and inquires about his family from first life and his evil wif...,7.4,2366,Not Rated,"Action,Musical,Romance","estate,singer,wig,villainess,vengeance"
Just Tell Me What You Want,1980-10-14,,5.5,707,R,"Comedy,Romance","f rated,prologue,freeze frame,female topless nudity,screenplay adapted by author"
Khubsoorat,1980-01-25,A strict matriarch&apos;s regimented household is upended by the arrival of a spunky relative who challenges the rules.,7.6,1801,Not Rated,"Comedy,Drama,Family","doctor,liberty,dance,card playing,discipline"
Ladies Choice,2022-07-12,"Male exotic entertainers find themselves in a bind after taking on a side job outside of their normal club which escalates into sex, lies, and a race against time.",7,11,,Thriller,"male nudity,male rear nudity,male stripper,sex scene,male butt crack"
Klondike Fever,1980-03-02,This movie chronicled Jack London&apos;s epic journey from San Francisco to the Klondike gold fields in 1898.,5.4,202,PG,Adventure,"klondike,klondike gold rush,1890s,19th century,cancan dance"
The Last Flight of Noah&apos;s Ark,1981-07-03,,5.7,1465,M/6,"Adventure,Family","crash landing,gambler,betting on a horse,horse race betting,duck"
The Last Married Couple in America,1981-06-26,,5.3,704,R,Comedy,"marriage,divorce,love,panties,pink panties"
Le dernier métro,1981-02-24,"In occupied Paris, an actress married to a Jewish theater owner must keep him hidden from the Nazis while doing both of their jobs.",7.4,14862,M/12,"Drama,Romance,War","jew,gestapo,hideout,world war two,french resistance"
The Last Witness,2018-05-11,An ambitious young journalist uncovers the horrific slaughter of twenty-two thousand Polish officers during World War II. A secret that has been kept hidden for far too many years.,5.6,1940,Not Rated,"History,Thriller","voice over narration,the western post newspaper,polish hostel somerset england,soviet invasion of poland 1939,kiss"
The Lady of Heaven,2022-06-03,"Two stories separated by 1400 years. After losing his mother in the midst of a war-torn country, an Iraqi child, learns the importance and power of patience by discovering the historical story of Lady Fatima and her suffering.",5.8,13984,R,"Action,Drama,History","islam,religion,iraq,shia,isis"
Tian yun shan chuan qi,,,7.4,183,,Drama,cultural revolution
The Life and Times of Rosie the Riveter,1981-10-15,"Documentary about women working in factories during WWII and resultant loss of jobs after the war. Five women tell their stories. Fascinating clips of racist, sexist propaganda of the era.",7.2,324,,"Documentary,History,War","national film registry,f rated,triple f rated,title directed by female,world war two"
Little Miss Marker,1981-12-18,A gruff bookie&apos;s life is turned upside-down when he gets a 6-year-old kid as collateral for a bet.,6.3,1615,M/12,"Comedy,Drama,Romance","gambling,1930s,bookie,horse racing,bookmaker"
The Magician of Lublin,1982-03-19,"Yasha is a Jewish stage magician who tours through eastern Europe while destroying his career through personal problems. He has one more chance at theatrical success, but he needs to do a brand new trick in a Warsaw theater.",5.8,167,R,Drama,"female full frontal nudity,female frontal nudity,female nudity,female rear nudity,stage magician"
Loulou,1981-05-08,,6.7,3449,TV-14,"Drama,Romance","drunk,collapsing bed,1980s,class differences,sexuality"
Älskande par,1964-12-21,Three expectant mothers think back over their sex lives.,6.6,702,M/16,"Drama,Romance","man wears women&apos;s clothing,timeframe 1910s,homosexual,baby,artist"
City After Dark,1980-11-28,The hidden nightlife of ordinary people living in Manila unveils. Lovers and families&apos; conflicts are radically pitted against each other as they live in the night streets rampant with drugs and prostitution. The outstanding narrat...,7.1,219,TV-MA,Drama,"prostitution,manila philippines,lesbian,high school student,alcoholism"
The Man with Bogart&apos;s Face,1980-05-28,"In contemporary Hollywood, private investigator Sam Marlow gets plastic surgery to look like Humphrey Bogart and solves various cases just like Bogart&apos;s silver-screen detective characters from the 1940s.",6.2,626,PG,"Comedy,Crime,Mystery","private detective,secretary,reference to humphrey bogart,los angeles california,1970s"
McVicar,1981-11-06,,6.7,2205,R,"Crime,Drama","character name as title,female nudity,female rear nudity,prison,criminal"
Midnight Madness,1980-02-08,Leon picks college students to participate in his all night scavenger hunt. Five teams receive clues to solve leading them to the next clue site hidden in the city.,6.3,3691,PG,Comedy,"hare krishna,psychotronic film,motor vehicle,chevrolet,chevrolet motor vehicle"
The Over-Mountain Men: The Price of Freedom,2016-09-16,"It is 1771, and the oppressed Regulators take the risk, and stand against Governor Tryon. The repercussions are more than anyone anticipated. The Price of Freedom follows Pastor Tidence Lane and a group of Regulators as they retre...",8.3,8,,Drama,historical event
My Sex Doll Bodyguard,2020-10-30,"It all starts when &apos;Brick&apos; receives a mysterious package. Inside the box is &apos;Anna&apos;, a sex doll AI system that can develop herself into a human being. Brick now has to sleep with eager Anna to test her functionality, or else he wil...",4.1,24,,Comedy,
The Mirror Crack&apos;d,1981-04-10,Miss Jane Marple comes to solve the mystery when a local woman is poisoned and a visiting movie star seems to have been the intended victim.,6.2,8498,M/12,"Crime,Mystery,Thriller","woman murders a woman,murderess,amateur sleuth,strong female lead,strong female character"
Nightkill,1982-01-22,"A woman&apos;s lover poisons her cruel husband, a rich businessman, in front of her. She becomes more terrified when she finds the lover dead as well. A police detective suddenly shows up at her door.",5.5,821,R,"Crime,Horror,Mystery","husband wife relationship,murdered in a shower,deception,marriage,arizona desert"
Fujimi nichoume koukyou gakudan shirîzu: Kanrei zensen kondakutâ,2012-03-03,"Yuki Morimura is by all accounts a disappointment. The only thing the substitute teacher has going for him is that he is the concertmaster of an amateur orchestra. To the shock of the Orchestra, music prodigy Kei Tonoin has been r...",5.3,81,Not Rated,Drama,gay
Nijinsky,1982-09-28,,6.6,787,R,"Biography,Drama,Music","character name as title,sergei diaghilev character,vaslav nijinsky character,period drama,gay character"
"Pepi, Luci, Bom y otras chicas del montón",1985-08-15,Pepi is raped by the policeman who catches her growing marijuana in her apartment. She seeks revenge by getting his masochist wife to leave him.,6.1,5612,M/16,Comedy,"voyeurism,female nudity,vomiting,farce,hot"
Permanent Vacation,2007-10-15,"In this outlandish black comedy, mild-mannered Eric takes his wife and children on what he believes will be a final happy holiday before his kids leave the nest, but instead he is is thrust into a world of sexual decadence, headle...",3.4,194,Not Rated,"Comedy,Drama","vacation gone wrong,dark comedy,immaculate conception,insatiable,vacation cabin"
Out of the Blue,2022-08-26,"Connor, a man whose dull life is transformed into a thrilling fantasy world thanks to the seductive Marilyn.",4.3,813,R,"Crime,Drama,Mystery","adulterous wife,unfaithful wife,cheating wife,sex scene,outdoor sex"
Palermo oder Wolfsburg,1981-03-04,"An impoverished young man from Sicily travels to Wolfsburg, West Germany to find work. He takes a job in the Volkswagen factory after he travels through Northern Italy by train.",6.8,245,,Drama,"new german cinema,italian abroad,courtroom,stabbed to death,girlfriend"
Pilote,2022-05-10,A drone pilot in Mali whose wife and daughter are kidnapped by terrorists. They will be executed if he doesn&apos;t derail the capture by his team of the head of a jihadist network.,6.1,68,,"Action,Thriller",
Playing Minecraft for the first time in a decade,2021-06-17,Cybershell streams Minecraft (2009).,,,,Comedy,
Pray TV,1982-02-01,,5.2,214,PG,Comedy,"hare krishna,parody,satire comedy,parody comedy,television"
Prom Night,2008-04-11,,3.9,36755,M/16,Horror,"prom,pedophilia,sexual predator,sex offender,child molester"
Return of the Secaucus Seven,1980-09-05,,7,2133,R,Drama,"male nudity,national film registry,speechwriter,theater,theater audience"
Resurrection,2022-08-05,"Margaret&apos;s life is in order. She is capable, disciplined and successful. Everything is under control until David returns - that is - carrying with him the horrors of Margaret&apos;s past.",5.9,8862,R,"Crime,Drama,Horror","abusive relationship,teenage daughter,mental breakdown,stalker,extramarital affair"
Rockshow,1981-04-08,,8,506,G,"Documentary,Music","rock music,concert film,independent film"
Rude Boy,1981-01-02,A young British punk and roadie for The Clash navigates life in socially torn 1970s England.,6.4,1321,R,"Drama,Music","timeframe 1970s,roadie,england,british renaissance,concert footage"
Sällskapsresan eller Finns det svenskt kaffe på grisfesten,1980-08-22,,7.2,8519,,Comedy,"part of series,swede abroad,swede,mass tourism,resort"
Nasvidenje v naslednji vojni,1980-07-10,"The two enemies from war, Slovenian partisan Berk and German soldier Bitter, meet each other during holidays in Spain. Recalling the war through conversation, Berk remembers Anton, his fellow comrade he had spend the most time with.",7,157,,"Drama,Romance,War","sex scene,storytelling,nazi occupied slovenia,nazi occupied yugoslavia,former enemies"
Saturn 3,1980-05-08,Two lovers stationed at a remote base in the asteroid fields of Saturn are intruded upon by a retentive technocrat from Earth and his charge: a malevolent eight foot robot.,5.1,9922,R,"Adventure,Horror,Sci-Fi","psychopath,infatuation,woman wears a towel,asteroid,robot sci fi"
The Sea Wolves,1981-01-30,"During World War II, the British must attack a German ship, but it&apos;s safe in neutral Goa. As a result, they send civilians: former soldiers who are about sixty years old.",6.3,4938,PG,"Action,History,War","based on true story,stabbed to death,espionage,indian ocean,stabbing"
Serial,1980-03-28,,6.5,1077,R,Comedy,"nudity,marin county california,new age movement,religious cult,female nudity"
Simon,2016-09-13,,3.1,289,,Thriller,"character name as title,forename as title,one word title,tied feet,kidnapping"
The Shining,1980-11-20,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",8.4,1041173,M/16,"Drama,Horror","haunted hotel,labyrinth,identical twins,hotel,typewriter"
A Small Circle of Friends,1980-12-04,"Harvard in the 60&apos;s: a time of social upheaval and student unrest. Three students bond together, challenge the system, and begin to lose their ideals.",5.9,477,R,Drama,"1960s,love triangle,anti war protest,rekindle old flame,cuckolded husband"
Solo Sunny,1980-01-18,"Sunny is a singer in a band which is constantly on the road. She therefore leads a relatively restless life, which she cannot afford to give up, having to rely on the fee she gets paid..",6.9,774,,"Drama,Music","taxi driver,band,philosopher,east berlin east germany,makeup"
Stardust Memories,1980-12-19,,7.2,23216,PG,"Comedy,Drama","man wears eyeglasses,alien,argument,artist,discussion"
Les séducteurs,1981-02-19,,5.5,401,R,"Comedy,Drama,Romance","italy,hot,sex scene,sexy,anthology film"
Stalker,1984-07-06,,8.1,137509,Not Rated,"Drama,Sci-Fi","guide,writer,professor,ruins,railway"
Times Square,1982-04-15,Two ill-matched teenage girls form a punk band and soon have New York City by its ears.,6.6,1818,R,"Drama,Music","teenage girl,times square manhattan new york city,teensploitation,overacting,listening to a radio"
"Those Lips, Those Eyes",1980-08-15,Stagestruck adolescent learns about love the hard way while interning in Cleveland summer stock during the early &apos;50&apos;s.,6.4,312,R,"Comedy,Romance","sword,prop,year 1951,throwing a glass into a fireplace,feather"
La terraza,1963-10-17,"Adapted from a story by Beatriz Guido. A group of young people from high society are enclosed, for fun, on a terrace in a charming building in Buenos Aires. His parents try to get them out, but young people threaten to jump into t...",6.7,110,,Drama,
Terror Train,2022-10-21,,4.5,890,TV-MA,"Horror,Mystery","female nudity,brief breast,mysterious killer,serial killer,slasher"
Faust: Love of the Damned,2001-02-02,"A man sells his soul to the devil to gain superpowers and avenge his girlfriend&apos;s brutal murder. When he realizes that the price is the soul of his new love interest, he turns on the devil.",4.4,4322,R,"Drama,Fantasy,Horror","incest,father daughter incest,breasts growing,female ejaculation,female rear nudity"
Up the Academy,1980-06-06,,4.7,1805,R,Comedy,"gay,teensploitation,teenage boy,father son relationship,mother son relationship"
Virus,1980-11-10,"After an experiment gone wrong, a virus that turns people into zombies spreads throughout New Guinea. A female reporter and her cameraman, and a team of four commandos sent to investigate try to survive the onslaught.",4.9,5506,Unrated,"Horror,Sci-Fi,Thriller","zombie,female nudity,papua new guinea,italian horror,zombie apocalypse"
Urban Cowboy: The Rise and Fall of Gilley&apos;s,2015-06-13,,8.7,32,TV-PG,Documentary,bar
Used Cars,1981-02-06,,6.7,15841,R,Comedy,"car dealership,public nudity,used cars,used car lot,used car salesman"
The Unseen,2018-07-10,,5.4,1211,PG-13,"Action,Drama,Horror","search for daughter,lesbian,disease,cell phone,wife wife lesbian relationship"
Le voyage en Arménie,2006-06-28,,6.7,480,,Drama,"armenian genocide,genocide,country name in title,armenia,diaspora"
The Watcher in the Woods,1981-08-26,"When a family moves to a country home, the young girls experience strange happenings that have a link to an occult event years past.",6.1,6611,PG,"Family,Horror,Mystery","teenage girl,occult,female protagonist,haunted house,teenage girl as protagonist"
Where the Buffalo Roam,1980-04-25,Semi-biographical film based on the experiences of gonzo journalist Hunter S. Thompson.,6.5,12202,R,"Biography,Comedy","gonzo journalist,hotel room,super bowl,journalism,presidential election"
